target_id,account_id,dt,target_definition,recommended_channel,strategy_version,prior_broken_ptp,payment_id,payment_dt,amount,paid_7d
TGT0000373,ACC0007871,2026-01-01,DPD>=30,VOICE,v1,False,,,,False
TGT0038846,ACC0012858,2026-01-01,DPD>=60,WHATSAPP,v3,False,,,,False
TGT0038933,ACC0017665,2026-01-01,DPD>=30,WHATSAPP,legacy,False,,,,False
TGT0038937,ACC0010455,2026-01-01,DPD>=60,SMS,v2,False,,,,False
TGT0003906,ACC0003864,2026-01-01,PROMISE_BROKEN,WHATSAPP,v3,False,PAYMENT0008074,2026-01-01 18:56:32,131956.56,True
TGT0013946,ACC0015306,2026-01-01,DPD>=30,WHATSAPP,v2,False,,,,False
TGT0019990,ACC0001524,2026-01-01,PROMISE_BROKEN,WHATSAPP,v1,False,,,,False
TGT0042609,ACC0012118,2026-01-01,HIGH_RISK,FIELD,v2,False,,,,False
TGT0011303,ACC0004241,2026-01-01,DPD>=30,WHATSAPP,v2,False,,,,False
TGT0020228,ACC0001495,2026-01-01,DPD>=30,SMS,v2,False,,,,False
TGT0003823,ACC0007171,2026-01-01,PROMISE_BROKEN,VOICE,v3,False,PAYMENT0001402,2026-01-06 06:48:21,17661.82,True
TGT0008329,ACC0020034,2026-01-01,PROMISE_BROKEN,VOICE,legacy,False,,,,False
TGT0002831,ACC0027955,2026-01-01,PROMISE_BROKEN,FIELD,legacy,False,,,,False
TGT0002712,ACC0007073,2026-01-01,PROMISE_BROKEN,SMS,v2,False,,,,False
TGT0008486,ACC0007519,2026-01-01,DPD>=60,FIELD,v1,False,,,,False
TGT0044867,ACC0008494,2026-01-01,DPD>=60,WHATSAPP,legacy,False,,,,False
TGT0039384,ACC0019126,2026-01-01,HIGH_RISK,WHATSAPP,legacy,False,,,,False
TGT0010544,ACC0001132,2026-01-01,NPA,WHATSAPP,v2,False,,,,False
TGT0018613,ACC0017962,2026-01-01,NPA,FIELD,v1,False,,,,False
TGT0008477,ACC0018506,2026-01-01,HIGH_RISK,VOICE,v3,False,,,,False
TGT0012527,ACC0021454,2026-01-01,HIGH_RISK,FIELD,legacy,False,,,,False
TGT0008951,ACC0011877,2026-01-01,NPA,SMS,legacy,False,,,,False
TGT0001922,ACC0027354,2026-01-01,DPD>=60,SMS,legacy,False,,,,False
TGT0039146,ACC0024329,2026-01-01,HIGH_RISK,WHATSAPP,legacy,False,,,,False
TGT0005587,ACC0020267,2026-01-01,DPD>=60,WHATSAPP,legacy,False,,,,False
TGT0039542,ACC0015038,2026-01-01,DPD>=60,SMS,v3,False,,,,False
TGT0002011,ACC0010646,2026-01-01,PROMISE_BROKEN,SMS,legacy,False,,,,False
TGT0005688,ACC0006748,2026-01-01,DPD>=60,SMS,v3,False,,,,False
TGT0043774,ACC0014163,2026-01-01,DPD>=60,VOICE,v2,False,,,,False
TGT0022366,ACC0003090,2026-01-01,HIGH_RISK,FIELD,v3,False,,,,False
TGT0027361,ACC0026564,2026-01-01,NPA,SMS,v3,False,,,,False
TGT0016111,ACC0025482,2026-01-01,PROMISE_BROKEN,FIELD,v1,False,,,,False
TGT0006951,ACC0013504,2026-01-01,NPA,SMS,v3,False,,,,False
TGT0000478,ACC0004627,2026-01-01,HIGH_RISK,VOICE,legacy,False,,,,False
TGT0037498,ACC0010288,2026-01-01,NPA,WHATSAPP,v2,False,,,,False
TGT0005334,ACC0024061,2026-01-01,PROMISE_BROKEN,WHATSAPP,v2,False,,,,False
TGT0041524,ACC0013493,2026-01-01,DPD>=30,VOICE,v2,False,,,,False
TGT0010877,ACC0001379,2026-01-01,PROMISE_BROKEN,WHATSAPP,legacy,False,,,,False
TGT0043483,ACC0024302,2026-01-01,DPD>=30,VOICE,v3,False,,,,False
TGT0002351,ACC0012650,2026-01-01,DPD>=60,FIELD,v3,False,,,,False
TGT0018200,ACC0027527,2026-01-01,PROMISE_BROKEN,SMS,legacy,False,,,,False
TGT0028706,ACC0022652,2026-01-01,DPD>=60,VOICE,v3,False,,,,False
TGT0037967,ACC0019825,2026-01-01,DPD>=60,VOICE,v3,False,,,,False
TGT0027879,ACC0007022,2026-01-01,DPD>=60,VOICE,v3,False,,,,False
TGT0044780,ACC0015178,2026-01-01,HIGH_RISK,FIELD,legacy,False,,,,False
TGT0023637,ACC0026740,2026-01-01,HIGH_RISK,SMS,legacy,False,,,,False
TGT0001190,ACC0024512,2026-01-01,DPD>=30,SMS,v2,False,,,,False
TGT0015248,ACC0029195,2026-01-01,PROMISE_BROKEN,VOICE,legacy,False,,,,False
TGT0036612,ACC0001366,2026-01-01,DPD>=60,FIELD,v2,False,,,,False
TGT0001096,ACC0014382,2026-01-01,DPD>=60,VOICE,v2,False,,,,False
TGT0036903,ACC0006450,2026-01-01,DPD>=60,FIELD,legacy,False,,,,False
TGT0013021,ACC0003095,2026-01-01,HIGH_RISK,VOICE,legacy,False,,,,False
TGT0007038,ACC0021181,2026-01-01,DPD>=60,FIELD,v3,False,,,,False
TGT0038300,ACC0021205,2026-01-01,DPD>=30,VOICE,v3,False,,,,False
TGT0037751,ACC0016922,2026-01-01,NPA,VOICE,v3,False,,,,False
TGT0030963,ACC0026957,2026-01-01,HIGH_RISK,VOICE,legacy,False,,,,False
TGT0016662,ACC0021668,2026-01-01,DPD>=60,FIELD,legacy,False,,,,False
TGT0017052,ACC0004760,2026-01-01,NPA,WHATSAPP,v2,False,,,,False
TGT0027410,ACC0026155,2026-01-01,HIGH_RISK,FIELD,v2,False,,,,False
TGT0001654,ACC0025350,2026-01-01,NPA,WHATSAPP,v1,False,,,,False
TGT0012376,ACC0021809,2026-01-01,DPD>=30,FIELD,v3,False,,,,False
TGT0039886,ACC0005038,2026-01-01,DPD>=60,SMS,legacy,False,,,,False
TGT0021902,ACC0026829,2026-01-01,PROMISE_BROKEN,FIELD,v1,False,,,,False
TGT0017476,ACC0000638,2026-01-01,PROMISE_BROKEN,WHATSAPP,v1,False,,,,False
TGT0027481,ACC0003194,2026-01-01,DPD>=30,WHATSAPP,v3,False,,,,False
TGT0039783,ACC0007846,2026-01-01,NPA,WHATSAPP,v3,False,,,,False
TGT0027510,ACC0018384,2026-01-01,PROMISE_BROKEN,VOICE,v2,False,,,,False
TGT0005916,ACC0002366,2026-01-01,DPD>=30,FIELD,v1,False,,,,False
TGT0012037,ACC0000754,2026-01-01,DPD>=30,WHATSAPP,v2,False,,,,False
TGT0038598,ACC0025597,2026-01-01,DPD>=30,VOICE,v1,False,,,,False
TGT0007794,ACC0013342,2026-01-01,HIGH_RISK,WHATSAPP,v2,False,,,,False
TGT0028095,ACC0020032,2026-01-01,PROMISE_BROKEN,WHATSAPP,legacy,False,,,,False
TGT0009728,ACC0029046,2026-01-01,NPA,FIELD,v1,False,,,,False
TGT0008360,ACC0007718,2026-01-01,PROMISE_BROKEN,WHATSAPP,legacy,False,,,,False
TGT0018225,ACC0005953,2026-01-01,DPD>=30,VOICE,v3,False,,,,False
TGT0010878,ACC0016429,2026-01-01,DPD>=60,WHATSAPP,v3,False,,,,False
TGT0028435,ACC0000161,2026-01-01,NPA,VOICE,v1,False,,,,False
TGT0009311,ACC0003823,2026-01-01,HIGH_RISK,FIELD,legacy,False,PAYMENT0002069,2026-01-03 08:04:25,18407.52,True
TGT0037310,ACC0002885,2026-01-01,DPD>=60,WHATSAPP,legacy,False,,,,False
TGT0002478,ACC0001833,2026-01-01,PROMISE_BROKEN,WHATSAPP,v2,False,,,,False
TGT0001164,ACC0011751,2026-01-01,PROMISE_BROKEN,SMS,v3,False,,,,False
TGT0005962,ACC0027260,2026-01-01,DPD>=30,FIELD,v2,False,,,,False
TGT0007610,ACC0028146,2026-01-01,PROMISE_BROKEN,WHATSAPP,v3,False,,,,False
TGT0040972,ACC0006806,2026-01-01,DPD>=30,FIELD,v2,False,,,,False
TGT0008677,ACC0019954,2026-01-01,NPA,SMS,v1,False,,,,False
TGT0044508,ACC0017578,2026-01-01,NPA,SMS,legacy,False,,,,False
TGT0044513,ACC0007410,2026-01-01,HIGH_RISK,WHATSAPP,v1,False,,,,False
TGT0023740,ACC0010725,2026-01-01,NPA,WHATSAPP,legacy,False,,,,False
TGT0041773,ACC0023739,2026-01-01,NPA,WHATSAPP,v3,False,,,,False
TGT0028790,ACC0028749,2026-01-01,DPD>=30,WHATSAPP,v2,False,,,,False
TGT0005168,ACC0007932,2026-01-01,NPA,SMS,v1,False,,,,False
TGT0036265,ACC0014921,2026-01-01,DPD>=60,VOICE,legacy,False,,,,False
TGT0041801,ACC0008339,2026-01-01,DPD>=30,WHATSAPP,v3,False,,,,False
TGT0044589,ACC0010397,2026-01-01,HIGH_RISK,WHATSAPP,v1,False,,,,False
TGT0043309,ACC0010438,2026-01-01,DPD>=60,FIELD,v1,False,,,,False
TGT0031566,ACC0029048,2026-01-01,NPA,WHATSAPP,v1,False,,,,False
TGT0041818,ACC0020694,2026-01-01,PROMISE_BROKEN,SMS,v1,False,PAYMENT0010544,2026-01-04 06:33:40,128732.97,True
TGT0021659,ACC0023940,2026-01-01,DPD>=30,FIELD,v3,False,,,,False
TGT0019145,ACC0028955,2026-01-01,DPD>=60,VOICE,v3,False,,,,False
TGT0034002,ACC0009197,2026-01-01,PROMISE_BROKEN,SMS,v2,False,,,,False
TGT0041875,ACC0016396,2026-01-01,NPA,FIELD,v1,False,,,,False
TGT0023917,ACC0027449,2026-01-01,HIGH_RISK,VOICE,v2,False,,,,False
TGT0021630,ACC0014621,2026-01-01,HIGH_RISK,FIELD,v1,False,,,,False
TGT0010761,ACC0007906,2026-01-01,HIGH_RISK,FIELD,legacy,False,,,,False
TGT0021139,ACC0019357,2026-01-01,DPD>=60,VOICE,v3,False,,,,False
TGT0029126,ACC0002626,2026-01-01,PROMISE_BROKEN,WHATSAPP,v1,False,,,,False
TGT0041904,ACC0013309,2026-01-01,PROMISE_BROKEN,SMS,v3,False,,,,False
TGT0035914,ACC0012485,2026-01-01,DPD>=60,FIELD,v3,False,,,,False
TGT0013305,ACC0024571,2026-01-01,DPD>=60,WHATSAPP,v3,False,,,,False
TGT0013247,ACC0016384,2026-01-01,NPA,VOICE,v3,False,,,,False
TGT0035482,ACC0001048,2026-01-01,HIGH_RISK,WHATSAPP,legacy,False,,,,False
TGT0018041,ACC0014650,2026-01-01,DPD>=30,WHATSAPP,v3,False,,,,False
TGT0020555,ACC0012020,2026-01-01,HIGH_RISK,FIELD,legacy,False,,,,False
TGT0013342,ACC0015693,2026-01-01,NPA,WHATSAPP,v2,False,,,,False
TGT0029566,ACC0025826,2026-01-01,DPD>=60,SMS,v2,False,,,,False
TGT0009161,ACC0018446,2026-01-01,DPD>=30,VOICE,v3,False,,,,False
TGT0000160,ACC0021733,2026-01-01,PROMISE_BROKEN,VOICE,v3,False,,,,False
TGT0035202,ACC0016663,2026-01-01,DPD>=30,VOICE,legacy,False,,,,False
TGT0042087,ACC0025993,2026-01-01,PROMISE_BROKEN,SMS,v1,False,,,,False
TGT0035121,ACC0009138,2026-01-01,PROMISE_BROKEN,VOICE,v3,False,,,,False
TGT0000166,ACC0029072,2026-01-01,DPD>=60,FIELD,legacy,False,,,,False
TGT0042111,ACC0020804,2026-01-01,PROMISE_BROKEN,WHATSAPP,v1,False,PAYMENT0010140,2026-01-03 10:20:26,139517.67,True
TGT0035047,ACC0025641,2026-01-01,DPD>=30,VOICE,v3,False,,,,False
TGT0004855,ACC0006273,2026-01-01,HIGH_RISK,VOICE,legacy,False,,,,False
TGT0029967,ACC0018848,2026-01-01,DPD>=60,FIELD,v2,False,,,,False
TGT0021166,ACC0002552,2026-01-01,HIGH_RISK,VOICE,v1,False,,,,False
TGT0009015,ACC0012441,2026-01-01,DPD>=60,FIELD,legacy,False,,,,False
TGT0010175,ACC0001943,2026-01-01,PROMISE_BROKEN,WHATSAPP,v3,False,,,,False
TGT0042200,ACC0010339,2026-01-01,HIGH_RISK,FIELD,legacy,False,,,,False
TGT0003402,ACC0006018,2026-01-01,DPD>=60,WHATSAPP,v3,False,,,,False
TGT0034376,ACC0020756,2026-01-01,DPD>=60,VOICE,legacy,False,,,,False
TGT0006101,ACC0001884,2026-01-01,PROMISE_BROKEN,FIELD,v1,False,,,,False
TGT0015712,ACC0022806,2026-01-01,DPD>=60,SMS,v1,False,,,,False
TGT0000289,ACC0006888,2026-01-01,NPA,WHATSAPP,legacy,False,,,,False
TGT0030216,ACC0022776,2026-01-01,DPD>=60,SMS,v3,False,,,,False
TGT0004662,ACC0009275,2026-01-01,HIGH_RISK,FIELD,v2,False,,,,False
TGT0006722,ACC0011833,2026-01-01,NPA,WHATSAPP,v1,False,,,,False
TGT0029619,ACC0021434,2026-01-01,DPD>=30,SMS,legacy,False,,,,False
TGT0019237,ACC0014835,2026-01-01,DPD>=60,SMS,v1,False,,,,False
TGT0016538,ACC0004522,2026-01-01,NPA,SMS,v2,False,,,,False
TGT0031667,ACC0028873,2026-01-01,DPD>=60,FIELD,legacy,False,,,,False
TGT0014242,ACC0012422,2026-01-01,DPD>=30,FIELD,legacy,False,PAYMENT0015836,2026-01-04 05:18:54,61656.61,True
TGT0032623,ACC0005391,2026-01-01,NPA,VOICE,v3,False,,,,False
TGT0032625,ACC0000651,2026-01-01,HIGH_RISK,VOICE,v2,False,,,,False
TGT0000227,ACC0022932,2026-01-01,HIGH_RISK,VOICE,legacy,False,,,,False
TGT0031168,ACC0017129,2026-01-01,DPD>=30,WHATSAPP,v2,False,,,,False
TGT0044386,ACC0029969,2026-01-01,DPD>=30,FIELD,v3,False,,,,False
TGT0024643,ACC0009099,2026-01-01,DPD>=30,SMS,v1,False,,,,False
TGT0033784,ACC0015453,2026-01-01,DPD>=60,WHATSAPP,v3,False,,,,False
TGT0033717,ACC0026178,2026-01-01,PROMISE_BROKEN,FIELD,v2,False,,,,False
TGT0004645,ACC0019767,2026-01-01,HIGH_RISK,VOICE,v1,False,,,,False
TGT0020344,ACC0003376,2026-01-01,DPD>=60,WHATSAPP,v2,False,,,,False
TGT0013760,ACC0015038,2026-01-01,DPD>=60,SMS,v3,False,,,,False
TGT0030757,ACC0003144,2026-01-01,DPD>=30,VOICE,v1,False,,,,False
TGT0015646,ACC0004713,2026-01-01,HIGH_RISK,SMS,v1,False,,,,False
TGT0024834,ACC0010540,2026-01-01,DPD>=30,VOICE,v3,False,,,,False
TGT0006479,ACC0019881,2026-01-01,DPD>=60,WHATSAPP,v1,False,,,,False
TGT0042987,ACC0000223,2026-01-01,PROMISE_BROKEN,SMS,v2,False,,,,False
TGT0015696,ACC0021520,2026-01-01,PROMISE_BROKEN,VOICE,v2,False,,,,False
TGT0033302,ACC0025307,2026-01-01,DPD>=60,SMS,v1,False,,,,False
TGT0015607,ACC0028803,2026-01-01,HIGH_RISK,SMS,legacy,False,,,,False
TGT0007864,ACC0016968,2026-01-01,DPD>=60,VOICE,v3,False,,,,False
TGT0011646,ACC0018786,2026-01-01,NPA,FIELD,v1,False,,,,False
TGT0007640,ACC0013347,2026-01-01,PROMISE_BROKEN,VOICE,legacy,False,,,,False
TGT0033098,ACC0004970,2026-01-01,PROMISE_BROKEN,FIELD,v3,False,,,,False
TGT0031859,ACC0029148,2026-01-01,DPD>=30,SMS,v1,False,,,,False
TGT0006202,ACC0016782,2026-01-01,PROMISE_BROKEN,SMS,v3,False,,,,False
TGT0005118,ACC0029479,2026-01-01,PROMISE_BROKEN,FIELD,legacy,False,,,,False
TGT0023734,ACC0022793,2026-01-01,PROMISE_BROKEN,WHATSAPP,v3,False,,,,False
TGT0006562,ACC0024515,2026-01-01,DPD>=30,VOICE,v2,False,,,,False
TGT0033880,ACC0009257,2026-01-01,DPD>=60,WHATSAPP,v3,False,,,,False
TGT0004026,ACC0018726,2026-01-01,DPD>=30,FIELD,v3,False,,,,False
TGT0031312,ACC0009876,2026-01-01,DPD>=60,FIELD,legacy,False,,,,False
TGT0031340,ACC0000263,2026-01-01,HIGH_RISK,WHATSAPP,v2,False,,,,False
TGT0025208,ACC0028723,2026-01-01,DPD>=30,VOICE,legacy,False,,,,False
TGT0004069,ACC0016902,2026-01-01,PROMISE_BROKEN,WHATSAPP,v2,False,,,,False
TGT0021326,ACC0018298,2026-01-01,HIGH_RISK,VOICE,v3,False,,,,False
TGT0035684,ACC0020317,2026-01-01,HIGH_RISK,SMS,v2,False,,,,False
TGT0031382,ACC0017682,2026-01-01,DPD>=30,SMS,legacy,False,,,,False
TGT0000670,ACC0018542,2026-01-01,HIGH_RISK,WHATSAPP,v1,False,,,,False
TGT0025385,ACC0007915,2026-01-01,NPA,VOICE,v2,False,,,,False
TGT0025426,ACC0018087,2026-01-01,DPD>=30,SMS,v3,False,PAYMENT0022143,2026-01-03 23:19:10,121335.41,True
TGT0015553,ACC0027404,2026-01-01,DPD>=60,SMS,legacy,False,PAYMENT0010769,2026-01-04 12:40:06,20070.63,True
TGT0020091,ACC0005762,2026-01-01,HIGH_RISK,WHATSAPP,v1,False,,,,False
TGT0025475,ACC0002618,2026-01-01,PROMISE_BROKEN,WHATSAPP,v1,False,,,,False
TGT0015520,ACC0009704,2026-01-01,PROMISE_BROKEN,WHATSAPP,v3,False,,,,False
TGT0006284,ACC0000619,2026-01-01,PROMISE_BROKEN,SMS,v3,False,,,,False
TGT0032046,ACC0028081,2026-01-01,PROMISE_BROKEN,VOICE,v3,False,,,,False
TGT0032072,ACC0006967,2026-01-01,DPD>=30,WHATSAPP,v3,False,,,,False
TGT0031377,ACC0005510,2026-01-01,DPD>=30,SMS,v3,False,,,,False
TGT0042007,ACC0019147,2026-01-02,NPA,SMS,v3,False,PAYMENT0008998,2026-01-03 01:55:42,125662.98,True
TGT0035504,ACC0021422,2026-01-02,PROMISE_BROKEN,FIELD,legacy,False,,,,False
TGT0019251,ACC0024812,2026-01-02,PROMISE_BROKEN,FIELD,v1,False,,,,False
TGT0035966,ACC0022629,2026-01-02,DPD>=60,FIELD,legacy,False,,,,False
TGT0041936,ACC0019694,2026-01-02,NPA,FIELD,v2,False,,,,False
TGT0035961,ACC0025595,2026-01-02,DPD>=30,SMS,v3,False,,,,False
TGT0041886,ACC0029595,2026-01-02,HIGH_RISK,FIELD,v2,False,,,,False
TGT0034060,ACC0025905,2026-01-02,DPD>=60,VOICE,legacy,False,,,,False
TGT0013284,ACC0022658,2026-01-02,NPA,WHATSAPP,v3,False,,,,False
TGT0000973,ACC0013940,2026-01-02,PROMISE_BROKEN,VOICE,v1,False,,,,False
TGT0003215,ACC0015429,2026-01-02,DPD>=30,FIELD,v1,False,,,,False
TGT0035204,ACC0001276,2026-01-02,HIGH_RISK,FIELD,v1,False,,,,False
TGT0011770,ACC0002528,2026-01-02,PROMISE_BROKEN,FIELD,v1,False,,,,False
TGT0035093,ACC0011697,2026-01-02,NPA,WHATSAPP,v3,False,,,,False
TGT0034837,ACC0011534,2026-01-02,DPD>=60,VOICE,v2,False,,,,False
TGT0034800,ACC0001616,2026-01-02,NPA,FIELD,legacy,False,,,,False
TGT0042201,ACC0015020,2026-01-02,DPD>=60,FIELD,legacy,False,,,,False
TGT0034585,ACC0002280,2026-01-02,PROMISE_BROKEN,FIELD,v2,False,,,,False
TGT0016917,ACC0026579,2026-01-02,NPA,SMS,v3,False,,,,False
TGT0033680,ACC0020860,2026-01-02,HIGH_RISK,FIELD,v3,False,,,,False
TGT0026920,ACC0010863,2026-01-02,NPA,VOICE,legacy,False,,,,False
TGT0035243,ACC0003596,2026-01-02,DPD>=30,SMS,v3,False,,,,False
TGT0013587,ACC0000304,2026-01-02,HIGH_RISK,SMS,legacy,False,,,,False
TGT0042631,ACC0022349,2026-01-02,PROMISE_BROKEN,SMS,v1,False,,,,False
TGT0013753,ACC0002936,2026-01-02,DPD>=60,FIELD,v3,False,,,,False
TGT0033631,ACC0021658,2026-01-02,DPD>=60,VOICE,v2,False,,,,False
TGT0034092,ACC0003094,2026-01-02,DPD>=60,WHATSAPP,legacy,False,,,,False
TGT0003709,ACC0026128,2026-01-02,DPD>=30,FIELD,legacy,False,,,,False
TGT0042463,ACC0014923,2026-01-02,PROMISE_BROKEN,WHATSAPP,v1,False,,,,False
TGT0033468,ACC0007484,2026-01-02,DPD>=30,VOICE,v3,False,,,,False
TGT0033435,ACC0016248,2026-01-02,PROMISE_BROKEN,WHATSAPP,v2,False,,,,False
TGT0033082,ACC0020347,2026-01-02,DPD>=60,FIELD,v2,False,,,,False
TGT0003895,ACC0022539,2026-01-02,PROMISE_BROKEN,WHATSAPP,legacy,False,,,,False
TGT0016846,ACC0021232,2026-01-02,HIGH_RISK,SMS,v3,False,,,,False
TGT0009039,ACC0003916,2026-01-02,NPA,FIELD,v2,False,,,,False
TGT0036233,ACC0003644,2026-01-02,PROMISE_BROKEN,WHATSAPP,v1,False,,,,False
TGT0042614,ACC0024578,2026-01-02,NPA,FIELD,v1,False,,,,False
TGT0000769,ACC0019466,2026-01-02,HIGH_RISK,FIELD,v2,False,,,,False
TGT0014081,ACC0027053,2026-01-02,HIGH_RISK,FIELD,legacy,False,,,,False
TGT0020048,ACC0019983,2026-01-02,HIGH_RISK,FIELD,v1,False,,,,False
TGT0032369,ACC0018150,2026-01-02,DPD>=60,VOICE,v2,False,,,,False
TGT0032344,ACC0026882,2026-01-02,DPD>=60,SMS,v2,False,,,,False
TGT0016804,ACC0004527,2026-01-02,NPA,VOICE,v1,False,,,,False
TGT0016796,ACC0025931,2026-01-02,DPD>=60,VOICE,legacy,False,,,,False
TGT0031786,ACC0025918,2026-01-02,PROMISE_BROKEN,FIELD,legacy,False,,,,False
TGT0010835,ACC0001961,2026-01-02,DPD>=60,WHATSAPP,legacy,False,,,,False
TGT0008015,ACC0007823,2026-01-02,DPD>=60,FIELD,v3,False,,,,False
TGT0032678,ACC0012802,2026-01-02,DPD>=60,WHATSAPP,legacy,False,,,,False
TGT0034003,ACC0017903,2026-01-02,HIGH_RISK,FIELD,v2,False,,,,False
TGT0026662,ACC0029359,2026-01-02,PROMISE_BROKEN,WHATSAPP,v2,False,,,,False
TGT0031574,ACC0022098,2026-01-02,NPA,SMS,v1,False,,,,False
TGT0010914,ACC0019514,2026-01-02,DPD>=60,SMS,legacy,False,,,,False
TGT0011104,ACC0025559,2026-01-02,NPA,SMS,v1,False,,,,False
TGT0010949,ACC0007452,2026-01-02,NPA,VOICE,v1,False,,,,False
TGT0022553,ACC0016576,2026-01-02,NPA,SMS,legacy,False,,,,False
TGT0015392,ACC0011178,2026-01-02,NPA,FIELD,v3,False,,,,False
TGT0021114,ACC0013017,2026-01-02,NPA,WHATSAPP,v3,False,,,,False
TGT0025896,ACC0029349,2026-01-02,PROMISE_BROKEN,SMS,legacy,False,,,,False
TGT0044459,ACC0011614,2026-01-02,PROMISE_BROKEN,WHATSAPP,v2,False,,,,False
TGT0022564,ACC0010975,2026-01-02,DPD>=60,FIELD,v3,False,,,,False
TGT0026109,ACC0003307,2026-01-02,DPD>=60,SMS,legacy,False,,,,False
TGT0044891,ACC0003945,2026-01-02,DPD>=30,WHATSAPP,v2,False,,,,False
TGT0025904,ACC0028239,2026-01-02,PROMISE_BROKEN,FIELD,v1,False,,,,False
TGT0008802,ACC0024207,2026-01-02,HIGH_RISK,FIELD,v3,False,PAYMENT0015057,2026-01-07 21:08:56,84373.54,True
TGT0022569,ACC0003590,2026-01-02,DPD>=30,FIELD,v2,False,,,,False
TGT0025855,ACC0025600,2026-01-02,DPD>=30,SMS,v2,False,,,,False
TGT0025851,ACC0021745,2026-01-02,HIGH_RISK,FIELD,v1,False,PAYMENT0014524,2026-01-06 08:14:18,106135.08,True
TGT0005980,ACC0029499,2026-01-02,PROMISE_BROKEN,VOICE,v2,False,,,,False
TGT0015187,ACC0006869,2026-01-02,DPD>=60,WHATSAPP,v1,False,,,,False
TGT0026478,ACC0010622,2026-01-02,NPA,WHATSAPP,v3,False,,,,False
TGT0026219,ACC0003713,2026-01-02,HIGH_RISK,FIELD,v3,False,,,,False
TGT0033664,ACC0013628,2026-01-02,DPD>=60,WHATSAPP,v1,False,,,,False
TGT0024707,ACC0028385,2026-01-02,HIGH_RISK,SMS,legacy,False,,,,False
TGT0009159,ACC0012058,2026-01-02,DPD>=30,WHATSAPP,v2,False,,,,False
TGT0023672,ACC0007940,2026-01-02,DPD>=60,VOICE,v3,False,,,,False
TGT0021702,ACC0009586,2026-01-02,DPD>=60,WHATSAPP,v3,False,,,,False
TGT0008861,ACC0026294,2026-01-02,NPA,SMS,v3,False,,,,False
TGT0006661,ACC0023838,2026-01-02,NPA,VOICE,v3,False,,,,False
TGT0015768,ACC0028899,2026-01-02,DPD>=30,FIELD,legacy,False,,,,False
TGT0025706,ACC0008826,2026-01-02,DPD>=30,VOICE,legacy,False,,,,False
TGT0005997,ACC0022769,2026-01-02,HIGH_RISK,FIELD,v3,False,,,,False
TGT0007079,ACC0027829,2026-01-02,DPD>=60,SMS,v3,False,,,,False
TGT0006244,ACC0022290,2026-01-02,DPD>=60,SMS,legacy,False,,,,False
TGT0015842,ACC0004183,2026-01-02,DPD>=60,VOICE,legacy,False,,,,False
TGT0026585,ACC0007311,2026-01-02,HIGH_RISK,SMS,legacy,False,,,,False
TGT0023981,ACC0003315,2026-01-02,PROMISE_BROKEN,SMS,v2,False,,,,False
TGT0026901,ACC0000754,2026-01-02,HIGH_RISK,SMS,v1,False,,,,False
TGT0016028,ACC0024776,2026-01-02,PROMISE_BROKEN,SMS,v2,False,,,,False
TGT0023835,ACC0001870,2026-01-02,DPD>=30,WHATSAPP,legacy,False,,,,False
